               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.012163,           0.0061416,            0.001648,             0.98987,             0.98771,             0.99004,             0.92134,           0.0062201,           0.0031412,          0.00052012,           0.0090892,           0.0090892,           0.0090892
                  48,            0.012482,            0.006004,           0.0012499,             0.99393,              0.9891,              0.9926,             0.92519,           0.0060332,           0.0029984,          0.00063225,           0.0090694,           0.0090694,           0.0090694
                  49,            0.012368,           0.0061012,           0.0022576,             0.99525,             0.98331,             0.98875,             0.92146,            0.005883,           0.0030812,          0.00065473,           0.0090496,           0.0090496,           0.0090496
                  50,            0.012342,            0.006064,           0.0010815,             0.99205,             0.99138,             0.99245,             0.92397,           0.0056754,             0.00303,           0.0004723,           0.0090298,           0.0090298,           0.0090298
                  51,            0.011952,            0.006041,           0.0013691,             0.99104,             0.98914,             0.99251,              0.9225,           0.0058336,           0.0029692,          0.00058962,             0.00901,             0.00901,             0.00901
                  52,            0.012879,            0.006129,           0.0025076,             0.99403,             0.98242,             0.98956,             0.92338,           0.0063894,           0.0031363,           0.0005622,           0.0089902,           0.0089902,           0.0089902
                  53,            0.012737,           0.0062186,           0.0017186,             0.99338,             0.99048,             0.98899,             0.92245,           0.0057527,           0.0028294,           0.0004633,           0.0089704,           0.0089704,           0.0089704
                  54,            0.011726,            0.005998,           0.0015312,              0.9937,             0.98746,              0.9888,             0.92464,           0.0057568,           0.0029508,          0.00054609,           0.0089506,           0.0089506,           0.0089506
                  55,             0.01213,           0.0058561,           0.0014204,             0.99054,             0.99257,             0.99252,             0.92328,            0.005713,           0.0028524,          0.00047988,           0.0089308,           0.0089308,           0.0089308
                  56,            0.011447,           0.0057957,           0.0013951,              0.9913,             0.99348,             0.99205,             0.92729,           0.0056789,           0.0028093,          0.00049426,            0.008911,            0.008911,            0.008911
                  57,            0.011375,           0.0058321,           0.0012624,             0.99477,             0.98995,             0.99207,             0.92547,           0.0056987,            0.002857,          0.00056402,           0.0088912,           0.0088912,           0.0088912
                  58,            0.011781,           0.0059294,          0.00098436,             0.99525,             0.98553,               0.991,             0.92694,            0.005775,           0.0029601,          0.00064151,           0.0088714,           0.0088714,           0.0088714
                  59,            0.012122,           0.0058633,           0.0015761,             0.99487,             0.98674,             0.99133,             0.92587,           0.0055738,           0.0029513,          0.00057592,           0.0088516,           0.0088516,           0.0088516
                  60,            0.011575,           0.0059212,           0.0016571,              0.9906,             0.98886,             0.99357,             0.92508,           0.0055204,           0.0029952,          0.00050916,           0.0088318,           0.0088318,           0.0088318
                  61,            0.012177,           0.0057932,           0.0014113,             0.99358,             0.98896,             0.98921,             0.92663,           0.0058115,           0.0029607,          0.00059857,            0.008812,            0.008812,            0.008812
                  62,            0.011653,           0.0057384,           0.0015174,             0.99218,              0.9918,              0.9925,             0.92613,           0.0055912,           0.0030206,          0.00050606,           0.0087922,           0.0087922,           0.0087922
                  63,            0.011609,           0.0058348,           0.0010796,             0.99374,              0.9864,             0.99353,             0.93033,           0.0055355,           0.0029412,          0.00066116,           0.0087724,           0.0087724,           0.0087724
                  64,            0.011372,           0.0057115,           0.0013264,             0.99124,             0.98541,             0.98795,             0.92133,           0.0057464,            0.002937,          0.00046155,           0.0087526,           0.0087526,           0.0087526
                  65,            0.011444,           0.0058878,           0.0011342,             0.99259,             0.99009,             0.99279,             0.93325,           0.0055157,           0.0029007,          0.00063825,           0.0087328,           0.0087328,           0.0087328
                  66,            0.011136,           0.0057461,           0.0013993,             0.99367,              0.9885,             0.99304,             0.93409,           0.0054504,           0.0028235,          0.00049107,            0.008713,            0.008713,            0.008713
                  67,            0.011329,           0.0056508,           0.0015803,             0.99227,             0.99075,             0.99221,             0.92824,           0.0056533,           0.0028957,          0.00048542,           0.0086932,           0.0086932,           0.0086932
                  68,            0.011319,           0.0057495,           0.0010667,             0.99085,             0.99191,             0.99048,              0.9307,            0.005552,           0.0028769,           0.0004956,           0.0086734,           0.0086734,           0.0086734
                  69,            0.011074,           0.0057374,           0.0012479,             0.98996,              0.9912,             0.99003,             0.92488,           0.0057317,           0.0029013,          0.00056346,           0.0086536,           0.0086536,           0.0086536
                  70,            0.011265,           0.0056369,          0.00096405,             0.99139,             0.98436,             0.99162,             0.93015,            0.005547,           0.0029996,          0.00048766,           0.0086338,           0.0086338,           0.0086338
                  71,            0.011213,           0.0058523,           0.0016563,             0.98952,             0.99171,             0.98968,             0.92857,           0.0054379,           0.0028896,          0.00059882,            0.008614,            0.008614,            0.008614
                  72,            0.011661,           0.0059464,           0.0021111,             0.99259,             0.98864,             0.99284,              0.9275,           0.0055392,           0.0029513,          0.00050701,           0.0085942,           0.0085942,           0.0085942
                  73,            0.011308,           0.0056698,           0.0012192,             0.99065,             0.99177,             0.99346,             0.93351,           0.0054001,           0.0028995,          0.00051584,           0.0085744,           0.0085744,           0.0085744
                  74,            0.011136,           0.0056593,           0.0014309,             0.98991,             0.99228,             0.99225,             0.92728,           0.0055345,           0.0029032,          0.00044992,           0.0085546,           0.0085546,           0.0085546
                  75,            0.011017,           0.0056811,           0.0013571,             0.99122,             0.99186,             0.99242,              0.9316,           0.0055611,           0.0029373,          0.00048594,           0.0085348,           0.0085348,           0.0085348
                  76,             0.01141,           0.0057093,          0.00097536,             0.99166,             0.99108,             0.99299,             0.93476,           0.0054189,           0.0028364,          0.00055395,            0.008515,            0.008515,            0.008515
                  77,             0.01102,           0.0057356,            0.001122,             0.99207,             0.99026,             0.99275,             0.93189,           0.0055432,           0.0028786,          0.00048755,           0.0084952,           0.0084952,           0.0084952
                  78,            0.011445,           0.0057304,            0.001199,             0.99022,             0.99396,             0.99361,             0.93528,           0.0054275,           0.0028565,          0.00048072,           0.0084754,           0.0084754,           0.0084754
                  79,            0.010981,            0.005529,           0.0011472,             0.99528,             0.99036,             0.99369,             0.93792,           0.0054503,           0.0028214,          0.00060614,           0.0084556,           0.0084556,           0.0084556
                  80,               0.011,            0.005512,           0.0012126,             0.99151,              0.9908,             0.99311,             0.93122,           0.0055471,           0.0028224,          0.00053655,           0.0084358,           0.0084358,           0.0084358
                  81,            0.010977,           0.0056967,           0.0022586,             0.99229,             0.99224,             0.99331,              0.9353,           0.0054723,           0.0028851,          0.00048645,            0.008416,            0.008416,            0.008416
                  82,            0.011189,           0.0056088,          0.00084888,             0.99361,             0.99062,             0.99291,             0.93166,           0.0055298,           0.0027888,          0.00047464,           0.0083962,           0.0083962,           0.0083962
                  83,             0.01124,           0.0055329,           0.0011312,             0.98883,             0.99337,             0.99357,             0.93176,           0.0055091,           0.0028483,          0.00048349,           0.0083764,           0.0083764,           0.0083764
                  84,            0.010653,           0.0056819,           0.0013551,             0.99132,               0.989,             0.99226,             0.93106,           0.0052529,           0.0028479,          0.00071372,           0.0083566,           0.0083566,           0.0083566
                  85,            0.010964,            0.005599,          0.00092844,             0.99164,              0.9889,              0.9922,             0.93217,            0.005342,           0.0028191,          0.00064741,           0.0083368,           0.0083368,           0.0083368
                  86,            0.010968,           0.0054907,           0.0012465,             0.99494,             0.98753,             0.99234,              0.9347,           0.0054263,           0.0028989,          0.00046168,            0.008317,            0.008317,            0.008317
                  87,            0.010727,           0.0055505,           0.0010541,             0.99663,             0.98863,             0.99291,             0.93721,           0.0054167,            0.002797,          0.00045927,           0.0082972,           0.0082972,           0.0082972
                  88,            0.010872,           0.0055689,              0.0012,             0.99641,             0.98781,             0.99029,             0.93609,           0.0052098,           0.0027697,          0.00047773,           0.0082774,           0.0082774,           0.0082774
                  89,             0.01071,           0.0056268,           0.0014038,             0.99393,             0.98955,             0.99326,             0.93857,           0.0052945,           0.0027507,          0.00045358,           0.0082576,           0.0082576,           0.0082576
                  90,            0.011023,           0.0054786,           0.0011475,             0.99392,             0.98892,             0.99362,             0.93771,           0.0053175,           0.0027693,          0.00058109,           0.0082378,           0.0082378,           0.0082378
                  91,            0.010767,           0.0055541,           0.0012786,             0.99508,             0.98659,             0.99298,             0.94187,           0.0051102,           0.0027999,          0.00063365,            0.008218,            0.008218,            0.008218
                  92,            0.011005,           0.0054762,           0.0012651,             0.99649,             0.98608,             0.99137,             0.93552,           0.0052409,           0.0028141,          0.00045919,           0.0081982,           0.0081982,           0.0081982
                  93,            0.010556,           0.0055092,            0.001262,             0.99527,             0.98786,             0.99013,             0.93521,           0.0051022,           0.0029565,          0.00050415,           0.0081784,           0.0081784,           0.0081784
                  94,            0.010424,           0.0054694,           0.0011668,             0.99259,             0.98932,             0.99317,              0.9391,           0.0052241,           0.0027879,          0.00048244,           0.0081586,           0.0081586,           0.0081586
                  95,             0.01088,           0.0058232,           0.0021496,             0.99276,             0.98814,             0.99197,             0.93326,           0.0053026,            0.002754,          0.00058413,           0.0081388,           0.0081388,           0.0081388
                  96,            0.010452,           0.0054898,           0.0012504,             0.99094,             0.99332,             0.99202,             0.93294,           0.0053606,           0.0027897,          0.00045159,            0.008119,            0.008119,            0.008119
                  97,            0.010723,           0.0054395,          0.00085129,             0.99661,             0.98483,             0.99248,              0.9321,           0.0055686,           0.0028214,          0.00050391,           0.0080992,           0.0080992,           0.0080992
                  98,            0.010854,           0.0055798,            0.001049,             0.99335,             0.98959,             0.99318,             0.93607,           0.0053882,           0.0027941,           0.0004566,           0.0080794,           0.0080794,           0.0080794
                  99,            0.010608,           0.0054076,          0.00091915,               0.992,             0.99005,             0.99286,             0.93584,           0.0052091,           0.0027146,          0.00046978,           0.0080596,           0.0080596,           0.0080596
                 100,             0.01042,           0.0053509,           0.0011065,             0.99371,             0.98713,             0.99311,             0.93667,            0.005231,           0.0027778,          0.00051808,           0.0080398,           0.0080398,           0.0080398
                 101,            0.010854,           0.0055114,           0.0014975,             0.99394,             0.99085,             0.99342,             0.93604,           0.0053963,            0.002819,          0.00047137,             0.00802,             0.00802,             0.00802
                 102,            0.010535,           0.0055709,           0.0014119,             0.99386,             0.98637,             0.99375,             0.93519,           0.0054736,           0.0028562,          0.00046528,           0.0080002,           0.0080002,           0.0080002
                 103,            0.010726,           0.0054687,           0.0012446,             0.99526,             0.98672,             0.99317,             0.93617,           0.0052655,           0.0027836,          0.00054152,           0.0079804,           0.0079804,           0.0079804
                 104,            0.010465,           0.0052972,           0.0012665,             0.99261,             0.98876,             0.99245,             0.93475,           0.0054087,           0.0028003,          0.00049637,           0.0079606,           0.0079606,           0.0079606
